Latitude,Longitude,Name,Times recommended,Recommended by,Rating,Reviews,Category,Google category,Notes,Website
43.287677,5.3895427,MV SMARTSHOP,1,List 1,4.9,86,Shop,Clothing Store,,http://marseillevintage.com/
43.2928052,5.3791674,digger.club vintage,1,List 1,4.8,71,Shop,Clothing Store,,
43.2912611,5.3841586,COMMON,1,List 1,4.9,30,Shop,Clothing Store,,http://instagram.com/common_marseille
43.2921808,5.3852924,Out Of Space Vintage Shop,1,List 1,4.9,52,Shop,Clothing Store,,https://www.facebook.com/outofspaceshop/
43.294774,5.384932,Coco vintage,1,List 1,4.8,67,Shop,Clothing Store,,https://www.instagram.com/cocovintage_marseille/?hl=fr
43.2925396,5.385264299999999,Kitsh Vintage,1,List 1,5,70,Shop,Clothing Store,,https://www.instagram.com/kitsh.vintage/
43.2905868,5.3733714,Ourea,1,Chloé,4.9,824,Dinner,Restaurant,,http://www.ourea-restaurant.com/
43.29440870000001,5.3757453,Bouillabaisse TURFU,1,Chloé,4.3,222,Dinner,Restaurant,classic marseille dish,
43.29208939999999,5.3842978,Matza,1,Chloé,4.7,1344,Wine Bar,Bar,book in advance,https://www.instagram.com/matza.restaurant/
43.2138803,5.5351452,Port de Cassis,1,Chloé,4.6,14963,Beach / Swim,Marina,,http://www.portdecassis.com/
43.2848597,5.3859685,La Fontaine,1,Chloé,4.5,1280,Dinner,Restaurant,,
43.27650269999999,5.3942619,Belle de Mars,1,Chloé,4.9,302,Dinner,Restaurant,High end,https://belledemars.fr/
43.2913946,5.3848592,café la muse,1,Chloé,4.3,692,Wine Bar,Bar,"Vibey day+night, laptop-friendly",http://www.cafelamuse.fr/
43.2912256,5.3812579,Vin Cult,1,Chloé,4.9,55,Shop,Clothing Store,,
43.2978576,5.371586499999999,Les Lumières,1,Chloé,4.8,484,Wine Bar,Bar,,https://reservation.laddition.com/booking/les-lumieres
43.2979363,5.3712555,TETRO,1,Chloé,4.5,147,Dinner,Restaurant,"newish, chef great, menu changes",https://www.instagram.com/tetro13002/
43.29568099999999,5.382,Super Cools La Cave,1,Chloé,4.8,40,Shop,Liquor Store,,https://supercools.hiboutik.com/shop/?utm_source=gmb
43.2130492,5.5313148,Plage du Bestouan,1,Chloé,4.5,2615,Other,Tourist Attraction,,
43.2919501,5.367108,La Passarelle Marseille,1,Chloé,4.3,1304,Wine Bar,Bar,restaurant jardin pétanque bar,https://www.thefork.fr/restaurant/la-passarelle-r840839
43.2844173,5.3587561,Chez Lucienne,1,Chloé,4.6,79,Shop,Cheese shop,,
43.2916975,5.3747957,Café Lauca « La Boutchica »,1,Chloé,4.8,404,Coffee / Lunch,Cafe,,https://www.cafelauca.com/
43.2944966,5.384601099999999,La Traverse de Balkis,1,Chloé,4.9,270,Wine Bar,Bar,,http://latraversedebalkis.com/
43.2853256,5.3510807,Vallon des Auffes,1,Chloé,4.6,894,Other,"Pretty spot, good for walks and drinks",SWIM,
43.2927407,5.3853531,Razzia,1,Chloé,4.9,278,Coffee / Lunch,Cafe,,https://www.instagram.com/razzia_marseille/
43.2132075,5.5313949,Same Same Beach,1,Chloé,3.1,443,Wine Bar,Bar,,https://menu.eazee-link.com/?o=q&id=UOVG34OYB9
43.2827511,5.386139300000001,dynamo Marseille,1,Chloé,4.7,90,Other,,,https://dynamo-marseille.com/
43.2961191,5.3862458,MON CAFÉ,1,Chloé,4.3,88,Wine Bar,Bar,,
43.2938118,5.378476099999999,Kin,1,Chloé,4.9,352,Dinner,Restaurant,,http://www.kin-restaurant.com/
43.28450600000001,5.358378999999999,Dailycat,1,Chloé,4.6,167,Dinner,Restaurant,,https://www.facebook.com/dailycatmarseille/
43.2959873,5.3852733,Restaurant/Marché Palestine de Gaza,1,Chloé,5,62,Dinner,Restaurant,,
43.220783,5.628411,Camping Ceyreste Cassis La Ciotat,1,Chloé,4.3,1244,Other,Campground,,https://www.campingceyreste.com/
43.2928675,5.3761925,IPPON MARSEILLE,1,Chloé,4.6,360,Dinner,Restaurant,,
43.29141850000001,5.357327199999999,Uma Holistic Club Coffee & Sport,1,Chloé,4.8,148,Coffee / Lunch,Cafe,,https://umamarseille.fr/
43.2922819,5.3849754,House of Pain Boulangerie bio,1,Chloé,4.2,328,Coffee / Lunch,Bakery,,
43.2935199,5.3841211,Merguez Fripe Marseille,1,Chloé,4.7,158,Shop,Clothing Store,,
43.2038947,5.5106835,Calanque de Port Pin,1,Chloé,4.7,4676,Beach / Swim,Natural Feature,,http://www.calanques-parcnational.fr/
43.2893769,5.3875085,La restanque,1,Chloé,4.6,279,Wine Bar,Bar,,
43.2848873,5.3599305,Lily,1,Chloé,4.5,116,Wine Bar,Bar,,https://cutt.ly/reserverunetable
43.2023618,5.498018999999999,Calanque d'En-vau,1,Chloé,4.7,1080,Beach / Swim,Natural Feature,,
43.309774,5.3923065,Aux Pieds Tanqués,1,Chloé,4.6,173,Wine Bar,Bar,,
43.30258,5.392383,Les Babines de Mars,1,Chloé,4.7,586,Dinner,Restaurant,"Yum, best to call and reserve",https://paa.ge/lesbabinesdemars/fr
43.3312105,5.2188667,Calanque De Grand Méjean,1,Chloé,4.8,674,Beach / Swim,Marina,,https://www.marseille-tourisme.com/decouvrez-marseille/calanques-plages-et-nature/les-calanques-de-marseille/quelles-calanques-decouvrir/les-calanques-de-la-cote-bleue/la-calanque-de-mejean/
43.2908333,5.3669444,La Ruche,1,Chloé,4.4,1150,Wine Bar,Bar,,https://www.laruchemarseille.fr/
43.2891577,5.3632849,T65,1,Chloé,4,342,Coffee / Lunch,Bakery,,https://www.instagram.com/t65boulangerie/
43.2095569,5.421875,Calanque de Sormiou,1,Chloé,4.5,1011,Beach / Swim,Natural Feature,,
43.2860428,5.382040099999999,Punch Boxing Studio Marseille,1,Chloé,4.9,20,Other,Gym,,https://punch-marseille.com/
43.2954022,5.3616725,Le Café du Fort,1,Chloé,4.3,422,Wine Bar,Bar,COFFEE,https://www.instagram.com/cafedufort.marseille/
43.2939089,5.3744916,Bobby,1,Chloé,4.2,16,Shop,Consignment shop,CLOTHES,https://bobby-boutiques.com/
43.2945737,5.3955825,double zero,1,Chloé,4.9,179,Wine Bar,Bar,"restaurant audiophile, vins naturels & vinyles; DINNER",https://bookings.zenchef.com/results?rid=373517
